商品コード,飲料属性
4902102141109,お茶
4902102141123,お茶
4902102113724,お茶
4909411069100,コーラ
4514603217216,コーラ
4901340689312,コーラ
4901777088108,コーヒー
4901870169230,お茶
4901870169254,お茶
4902102075060,コーラ
4902102151023,コーヒー
4902102151566,コーヒー
4901777300521,コーヒー
4901777278639,お茶
4901085161982,お茶
4901085613580,お茶
4902102118644,コーラ
4902102133975,コーラ
4902102147309,お茶
4902102074728,コーラ
4902102107341,お茶
4902102107860,お茶
4902102114349,コーラ
4901777204980,コーヒー
4901777235434,コーヒー
4901777235298,コーヒー
4909411083342,コーラ
4901201208096,コーラ
4514603284317,コーラ
4901777235335,コーヒー
4514603360912,コーラ
4902102132473,コーラ
4902102151573,コーヒー
4901777300545,コーヒー
4902102072618,コーラ
4909411089368,コーラ
4909411088453,コーラ
4902102136662,コーラ
4901777391581,コーヒー
4901777349926,コーヒー
4901777269378,お茶
4901777231672,お茶
4902102151382,コーヒー
4902102151368,コーヒー
4902102138680,お茶
4902102150521,お茶
4902102150545,お茶
4902102077354,コーラ
4902102084178,コーラ
4514603263213,コーラ
4901340064645,コーラ
4901777361256,コーヒー
4902102076579,コーラ
4514603431919,コーラ
4514603430417,コーラ
4901340689213,コーラ
4909411089320,コーラ
4589850829062,コーヒー
4901777232310,お茶
4901777232297,お茶
4909411085551,コーラ
4589850826214,コーヒー
4901777393219,コーヒー
4901777392168,コーヒー
4901777380004,コーヒー
4901777375901,コーヒー
4909411090210,コーラ
4902102136716,お茶
4909411084950,コーラ
4901777300446,コーヒー
4909411073114,コーラ
4901777271951,お茶
4901777375864,コーヒー
4909411090234,コーラ
4902102107648,お茶
4901777301078,コーヒー
4901777301092,コーヒー
4901777375826,コーヒー
4909411084875,コーラ
4909411085650,コーラ
4582409175191,コーヒー
4902555207032,お茶
4901777392182,コーヒー
4909411084790,コーラ
4909411088538,コーラ
4901870172865,お茶
4902102119443,コーラ
4901777361294,コーヒー
4901085003800,お茶
4901777392694,コーヒー
